Package Name,Number of Words in source code,Number of lines in source code,plus ratio mean,plus ratio max,plus ratio std,plus ratio q3,eq ratio mean,eq ratio max,eq ratio std,eq ratio q3,bracket ratio mean,bracket ratio max,bracket ratio std,bracket ratio q3,Number of base64 chunks in source code,Number of IP adress in source code,Number of sospicious token in source code,Number of Words in metadata,Number of lines in metadata,Number of base64 chunks in metadata,Number of IP adress in metadata,Number of sospicious token in metadata,.bat,.bz2,.c,.cert,.conf,.cpp,.crt,.css,.csv,.deb,.erb,.gemspec,.gif,.gz,.h,.html,.ico,.ini,.jar,.java,.jpg,.js,.json,.key,.m4v,.markdown,.md,.pdf,.pem,.png,.ps,.py,.rb,.rpm,.rst,.sh,.svg,.toml,.ttf,.txt,.xml,.yaml,.yml,.eot,.exe,.jpeg,.properties,.sql,.swf,.tar,.woff,.woff2,.aac,.bmp,.cfg,.dcm,.dll,.doc,.flac,.flv,.ipynb,.m4a,.mid,.mkv,.mp3,.mp4,.mpg,.ogg,.otf,.pickle,.pkl,.psd,.pxd,.pxi,.pyc,.pyx,.r,.rtf,.so,.sqlite,.tif,.tp,.wav,.webp,.whl,.xcf,.xz,.zip,.mov,.wasm,.webm,repository,presence of installation script,shannon mean ID source code,shannon std ID source code,shannon max ID source code,shannon q3 ID source code,shannon mean string source code,shannon std string source code,shannon max string source code,shannon q3 string source code,homogeneous identifiers in source code,homogeneous strings in source code,heteregeneous identifiers in source code,heterogeneous strings in source code,URLs in source code,shannon mean ID metadata,shannon std ID metadata,shannon max ID metadata,shannon q3 ID metadata,shannon mean string metadata,shannon std string metadata,shannon max string metadata,shannon q3 string metadata,homogeneous identifiers in metadata,homogeneous strings in metadata,heterogeneous strings in metadata,URLs in metadata,heteregeneous identifiers in metadata
own-basic-component-config-0.8.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134,71,1,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,1.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.05717595489209044,0.1110998445993071,0.38210225325431013,-0.0,0.276951470326151,0.2263197430208473,0.6493974703476992,0.4926140680171258,42,18,16,2,0
own-basic-component-util-0.8.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,79,1,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,1.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.05650158087482656,0.1112863652321436,0.38210225325431013,0.0,0.2905238890873614,0.22556367347165535,0.6493974703476992,0.4926140680171258,47,18,19,2,0
primer-react-36.15.0,244491.0,58324.0,7.092065975536162e-05,0.002785515320334262,0.00028607640042863086,0.0,0.00594928779812253,0.024005053695514846,0.0037598832873883764,0.0075520660057222695,0.0013377910205390425,0.008888888888888889,0.0013020392403100918,0.001972910098533229,2863.0,26.0,54.0,558,272,5,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,591.0,5.0,0,0,0,2.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.12580998012765068,0.1608064699480479,0.875,0.2612796872684704,0.35970735054601005,0.2540219899806076,1.0,0.5130521244328587,86844,13886,787,13215,108,0.1908312730066814,0.14149313611314396,0.5115185327664404,0.28887744646675484,0.32797911351908393,0.21913987173019486,0.792481250360578,0.4854752972273343,69,72,125,4,6
steedos-server-2.6.10,722495.0,119995.0,0.0003009957723673527,0.003654342218400688,0.0005434289347528138,0.000330246991175063,0.003020194765101144,0.05,0.004544329853301449,0.004050276593903997,0.0009629959725461798,0.012915570437694332,0.001899979689188072,0.0009179669574282674,5723.0,74.0,410.0,216,117,0,0,1,0,0,0,0,0,0,0,3.0,0,0,0,0,9.0,0,0,13.0,0,0,0,0,0,211.0,10.0,0,0,0,4.0,0,0,24.0,0,0,0,0,0,0,39.0,0,9.0,4.0,0,0,0.0,9.0,0,0,0,0,0,0,9.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.06519739258426634,0.13462383006119635,0.8962406251802889,-0.0,0.3854040164830428,0.2712154572337943,1.0,0.551653704303917,1165970,60682,858,14825,694,0.1438852545721397,0.15726044701295913,0.5990919739558995,0.2717822215997982,0.4445298774290728,0.12188652070005325,0.7883106100537456,0.5,49,3,69,1,6
steedos-service-metadata-server-2.6.10,1918.0,609.0,0.0,0.0,0.0,0.0,0.009464418265460153,0.010869565217391304,0.002142633368390572,0.0106951871657754,0.0023354220710445806,0.002717391304347826,0.0007548124037432344,0.00267379679144385,0.0,0.0,0.0,60,31,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,17.0,2.0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.11860743573301173,0.15844416950418724,0.792481250360578,0.20690842515181687,0.2008956127430134,0.20917476767074863,0.5783898247235197,0.41717351154262694,617,74,40,0,0,0.13186523300782135,0.12888254242170846,0.29583638929116374,0.2646804326436822,0.2757878515364339,0.2165287040893735,0.49185413131159283,0.4726997303536731,12,5,4,0,0
steedos-service-steedos-server-2.6.10,1198.0,479.0,0.0,0.0,0.0,0.0,0.0046048537647790915,0.0046048537647790915,0.0,0.0046048537647790915,0.0009334163036714375,0.0009334163036714375,0.0,0.0009334163036714375,4.0,0.0,1.0,90,47,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1.0,1.0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.11203673053147185,0.142177900430562,0.4591479170272448,0.2427303803729567,0.14314539131248785,0.1530324237462437,0.6698321319647563,0.2717822215997982,357,40,0,1,1,0.2186084121856103,0.10877469240332605,0.3146246119280173,0.2873178489188397,0.3470004421088881,0.19231723611318016,0.5,0.49242408384074254,8,2,5,0,0
type-tls-3.0.0,440.0,109.0,0.0,0.0,0.0,0.0,0.012519891917259699,0.017839444995044598,0.0075229841083669455,0.015179668456152148,0.0009190894822497564,0.0009910802775024777,0.00010181035901242306,0.000955084879876117,0.0,0.0,0.0,136,62,0,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,2.0,2.0,0,0,0,52.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0504884933324516,0.1135446360114417,0.4315602842833155,0.0,0.025000862371090542,0.08660552771953148,0.32501121082417705,0.0,322,12,0,0,0,0.04867471077008291,0.0954090463733317,0.2717822215997982,-0.0,0.21584468010966606,0.22038359710896954,0.5,0.4623164860195727,34,35,9,3,0
vue-component-meta-2.0.14,2420.0,731.0,0.00011575681807658471,0.0003472704542297541,0.00020049669023115217,0.00017363522711487706,0.013498001439262837,0.023809523809523808,0.009418667874010567,0.01757301966132515,0.0063854183199517885,0.015873015873015872,0.008217839751087015,0.008831496003333711,1.0,0.0,0.0,55,33,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,3.0,1.0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.13013726626821143,0.14851269171892467,0.7295739585136224,0.2612796872684704,0.16471674436424674,0.2194485112360325,0.6691344640382323,0.36096404744368116,879,66,9,1,0,0.11481545382956657,0.13200247239888196,0.3420192178195208,0.25210454795145293,0.3003641941985077,0.23904206520284052,0.7887031414261726,0.4591479170272448,12,4,3,1,0
vue-component-type-helpers-2.0.14,197.0,39.0,0.0,0.0,0.0,0.0,0.012439958787421457,0.021897810218978103,0.0133754217654172,0.01716888450319978,0.0,0.0,0.0,0.0,4.0,0.0,0.0,24,15,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,2.0,1.0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,-0.0,0.0,0.1748381535719548,0.2280724476448498,0.6435270140593635,0.4056390622295664,16,107,0,1,0,0.032870709921240415,0.0929724075509001,0.29583638929116374,0.0,0.29317825115239177,0.17652709915477005,0.4591479170272448,0.4548680612655831,8,2,1,1,0
vue-language-core-2.0.14,18914.0,5614.0,0.0005893675227218525,0.0026852846401718583,0.0006610158025774274,0.0010375051660008266,0.0055259857257416055,0.016867469879518072,0.0028405963775648716,0.0065118152524167566,0.0016550807557589521,0.006581696615127455,0.0013110490533701463,0.0022883639456928095,13.0,0.0,3.0,65,38,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,55.0,1.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.12988319020953604,0.16853565656924305,0.9609640474436811,0.2612796872684704,0.19699496751352388,0.2553486013058476,0.881351100172487,0.4315602842833155,7016,1617,684,30,3,0.12961297035558234,0.14149942398709184,0.3420192178195208,0.279550035259319,0.35985360005532024,0.2201803762265366,0.7887031414261726,0.5,14,4,8,1,0
